2020-03-30 13:56:40:207, no_human
2020-03-30 13:56:40:218, no_human
2020-03-30 13:56:40:481, no_human
2020-03-30 13:56:40:556, no_human
2020-03-30 13:56:40:573, no_human
2020-03-30 13:56:40:590, no_human
2020-03-30 13:56:40:608, no_human
2020-03-30 13:56:40:624, no_human
2020-03-30 13:56:40:641, no_human
2020-03-30 13:56:40:657, no_human
2020-03-30 13:56:40:674, no_human
2020-03-30 13:56:40:718, no_human
2020-03-30 13:56:40:736, no_human
2020-03-30 13:56:40:742, no_human
2020-03-30 13:56:40:758, no_human
2020-03-30 13:56:40:775, no_human
2020-03-30 13:56:40:830, no_human
2020-03-30 13:56:40:858, no_human
2020-03-30 13:56:40:889, no_human
2020-03-30 13:56:40:915, no_human
2020-03-30 13:56:40:942, no_human
2020-03-30 13:56:40:948, no_human
2020-03-30 13:56:40:988, no_human
2020-03-30 13:56:41:016, no_human
2020-03-30 13:56:41:042, no_human
2020-03-30 13:56:41:048, no_human
2020-03-30 13:56:41:088, no_human
2020-03-30 13:56:41:116, no_human
2020-03-30 13:56:41:143, no_human
2020-03-30 13:56:41:152, no_human
2020-03-30 13:56:41:191, no_human
2020-03-30 13:56:41:227, no_human
2020-03-30 13:56:41:255, no_human
2020-03-30 13:56:41:282, no_human
2020-03-30 13:56:41:316, no_human
2020-03-30 13:56:44:464,0.2207103,1.6536363.266397
2020-03-30 13:56:44:501,0.2330022,1.6564873.261936
2020-03-30 13:56:44:536,0.2539036,1.6541223.252702
2020-03-30 13:56:44:585,0.2770568,1.6541493.242755
2020-03-30 13:56:44:627,0.2974932,1.650263.239894
2020-03-30 13:56:44:664,0.3364747,1.6403313.240348
2020-03-30 13:56:44:704,0.3469115,1.6374273.241465
2020-03-30 13:56:44:738,0.3639961,1.6394523.244527
2020-03-30 13:56:44:773,0.377589,1.6420443.246647
2020-03-30 13:56:44:812,0.3940518,1.6438533.249102
2020-03-30 13:56:44:846,0.4183507,1.6483573.253252
2020-03-30 13:56:44:884,0.4294965,1.6468133.256996
2020-03-30 13:56:44:922,0.4400117,1.6447463.259417
2020-03-30 13:56:44:957,0.4559194,1.6480963.259792
2020-03-30 13:56:44:993,0.4683987,1.6470743.26138
2020-03-30 13:56:45:030,0.502775,1.6421413.265683
2020-03-30 13:56:45:067,0.5197361,1.6453863.26879
2020-03-30 13:56:45:106,0.536948,1.6476073.269525
2020-03-30 13:56:45:145,0.5531187,1.6454683.270642
2020-03-30 13:56:45:182,0.5656221,1.645953.275092
2020-03-30 13:56:45:228,0.5855212,1.6500613.281275
2020-03-30 13:56:45:262,0.6264485,1.6459263.296973
2020-03-30 13:56:45:295,0.6444782,1.6554033.301182
2020-03-30 13:56:45:344,0.6600695,1.6538743.307263
2020-03-30 13:56:45:380,0.6824434,1.6587153.312605
2020-03-30 13:56:45:414,0.6930464,1.6587223.316343
2020-03-30 13:56:45:453,0.7089024,1.6643793.31742
2020-03-30 13:56:45:487,0.7195274,1.6632073.320574
2020-03-30 13:56:45:523,0.7297084,1.6655253.320404
2020-03-30 13:56:45:562,0.7449742,1.6647333.3209
2020-03-30 13:56:45:598,0.7646381,1.6630573.314493
2020-03-30 13:56:45:637,0.773463,1.6597183.308178
2020-03-30 13:56:45:674,0.7814538,1.6584113.303719
