2020-03-02 14:42:38:268, no_human
2020-03-02 14:42:38:280, no_human
2020-03-02 14:42:38:520, no_human
2020-03-02 14:42:38:586, no_human
2020-03-02 14:42:38:604, no_human
2020-03-02 14:42:38:620, no_human
2020-03-02 14:42:38:636, no_human
2020-03-02 14:42:38:653, no_human
2020-03-02 14:42:38:670, no_human
2020-03-02 14:42:38:687, no_human
2020-03-02 14:42:38:705, no_human
2020-03-02 14:42:38:721, no_human
2020-03-02 14:42:38:737, no_human
2020-03-02 14:42:38:780, no_human
2020-03-02 14:42:38:797, no_human
2020-03-02 14:42:38:803, no_human
2020-03-02 14:42:38:820, no_human
2020-03-02 14:42:38:836, no_human
2020-03-02 14:42:38:854, no_human
2020-03-02 14:42:38:893, no_human
2020-03-02 14:42:38:923, no_human
2020-03-02 14:42:38:949, no_human
2020-03-02 14:42:38:982, no_human
2020-03-02 14:42:39:014, no_human
2020-03-02 14:42:39:048, no_human
2020-03-02 14:42:39:082, no_human
2020-03-02 14:42:39:113, no_human
2020-03-02 14:42:39:149, no_human
2020-03-02 14:42:39:182, no_human
2020-03-02 14:42:39:215, no_human
2020-03-02 14:42:39:248, no_human
2020-03-02 14:42:39:281, no_human
2020-03-02 14:42:39:315, no_human
2020-03-02 14:42:43:294,-0.2502193,1.7870253.172264
2020-03-02 14:42:43:332,-0.2504364,1.786923.172456
2020-03-02 14:42:43:385,-0.2504032,1.7868193.172373
2020-03-02 14:42:43:424,-0.2505145,1.7867323.172626
2020-03-02 14:42:43:461,-0.2505239,1.7867373.17261
2020-03-02 14:42:43:495,-0.2505638,1.7866953.172644
2020-03-02 14:42:43:528,-0.250587,1.786683.172676
2020-03-02 14:42:43:564,-0.2505949,1.7866753.172701
2020-03-02 14:42:43:599,-0.2509027,1.7863333.17252
2020-03-02 14:42:43:634,-0.250917,1.7864053.172635
2020-03-02 14:42:43:647,-0.250917,1.7864053.172635
2020-03-02 14:42:43:684,-0.2509269,1.7865183.172594
2020-03-02 14:42:43:719,-0.2508891,1.7865163.1726
2020-03-02 14:42:43:757,-0.2508965,1.7865283.172629
2020-03-02 14:42:43:801,-0.2510253,1.7867463.172954
2020-03-02 14:42:43:837,-0.251248,1.7866813.173172
2020-03-02 14:42:43:871,-0.2512918,1.7866073.17332
2020-03-02 14:42:43:914,-0.2513236,1.7866283.17337
2020-03-02 14:42:43:948,-0.251554,1.7865753.173548
2020-03-02 14:42:43:983,-0.2515529,1.7865553.173531
2020-03-02 14:42:44:025,-0.251614,1.7865883.173539
2020-03-02 14:42:44:068,-0.2518405,1.7866263.173563
2020-03-02 14:42:44:102,-0.2520241,1.7865933.173246
2020-03-02 14:42:44:135,-0.2521583,1.7864933.173159
2020-03-02 14:42:44:168,-0.252198,1.7864643.173109
2020-03-02 14:42:44:200,-0.2522883,1.7864053.173094
2020-03-02 14:42:44:235,-0.2523403,1.7863623.173167
2020-03-02 14:42:44:270,-0.2527127,1.7863913.173216
2020-03-02 14:42:44:315,-0.2528885,1.7862723.172935
2020-03-02 14:42:44:348,-0.2531152,1.7863033.172857
2020-03-02 14:42:44:382,-0.2534009,1.7863963.173007
2020-03-02 14:42:44:415,-0.2538568,1.786333.172985
2020-03-02 14:42:44:448,-0.2539617,1.7863593.172974
2020-03-02 14:42:44:484,-0.2545602,1.7861693.172728
2020-03-02 14:42:44:520,-0.2547264,1.7862663.172669
2020-03-02 14:42:44:557,-0.2549313,1.7862633.172613
2020-03-02 14:42:44:593,-0.255158,1.7862763.172557
