2019-12-10 22:48:39:564, no_human
2019-12-10 22:48:39:575, no_human
2019-12-10 22:48:39:822, no_human
2019-12-10 22:48:39:893, no_human
2019-12-10 22:48:39:910, no_human
2019-12-10 22:48:39:926, no_human
2019-12-10 22:48:39:943, no_human
2019-12-10 22:48:39:959, no_human
2019-12-10 22:48:39:976, no_human
2019-12-10 22:48:39:993, no_human
2019-12-10 22:48:40:009, no_human
2019-12-10 22:48:40:048, no_human
2019-12-10 22:48:40:056, no_human
2019-12-10 22:48:40:081, no_human
2019-12-10 22:48:40:089, no_human
2019-12-10 22:48:40:115, no_human
2019-12-10 22:48:40:123, no_human
2019-12-10 22:48:40:137, no_human
2019-12-10 22:48:40:154, no_human
2019-12-10 22:48:40:209, no_human
2019-12-10 22:48:40:247, no_human
2019-12-10 22:48:40:260, no_human
2019-12-10 22:48:40:288, no_human
2019-12-10 22:48:40:314, no_human
2019-12-10 22:48:40:322, no_human
2019-12-10 22:48:40:357, no_human
2019-12-10 22:48:40:382, no_human
2019-12-10 22:48:40:389, no_human
2019-12-10 22:48:40:425, no_human
2019-12-10 22:48:40:453, no_human
2019-12-10 22:48:40:461, no_human
2019-12-10 22:48:40:495, no_human
2019-12-10 22:48:40:522, no_human
2019-12-10 22:48:40:550, no_human
2019-12-10 22:48:40:557, no_human
2019-12-10 22:48:40:595, no_human
2019-12-10 22:48:40:626, no_human
2019-12-10 22:48:41:022,-0.1697706,0.9150882,1.833492,-0.144791,1.277536,1.837369,-0.1195763,1.622598,1.824744,-0.1280825,1.781586,1.820281,-0.3094429,1.495877,1.877253,-0.3573912,1.219744,1.880324,-0.4045894,0.9980248,1.782384,-0.4001664,0.9206293,1.751175,0.04163548,1.481716,1.814881,0.1039066,1.240255,1.837618,0.02578525,1.022839,1.678027,-0.03164458,0.9811223,1.672284,-0.2474687,0.9244989,1.800872,-0.2859886,0.5094501,1.745809,-0.3198791,0.1126462,1.744656,-0.3173797,0.1114699,1.649991,-0.08415189,0.9141203,1.782025,-0.05177016,0.4919052,1.768724,-0.02212201,0.11696,1.787924,-0.04190502,0.106783,1.634382,-0.125939,1.53867,1.830477,-0.3998044,0.8454243,1.729253,-0.4251553,0.9312824,1.702,-0.02837376,0.936806,1.593238,-0.08683311,1.133359,1.679234
2019-12-10 22:48:41:057,-0.1557399,0.9150768,1.83504,-0.1288358,1.276565,1.838953,-0.1017655,1.620612,1.826471,-0.1094057,1.779019,1.818463,-0.2962227,1.494122,1.876304,-0.3446988,1.22129,1.88184,-0.3914599,0.9994603,1.785513,-0.3878301,0.9208622,1.753448,0.05798908,1.481936,1.817413,0.1176633,1.239454,1.838802,0.04258668,0.9959982,1.669103,-0.01958393,0.9580601,1.67472,-0.2343554,0.9243435,1.801609,-0.2777016,0.5081831,1.747431,-0.3207363,0.1124204,1.744207,-0.3179353,0.1117108,1.649522,-0.06984343,0.9142742,1.784389,-0.04298678,0.4967567,1.770106,-0.02081764,0.1161638,1.790279,-0.03913157,0.1076338,1.636458,-0.1085739,1.53694,1.832162,-0.388879,0.847807,1.730389,-0.4115722,0.9250939,1.718909,-0.01488345,0.9236451,1.605856,-0.08545455,1.232706,1.657556
2019-12-10 22:48:41:091,-0.1428252,0.9153547,1.837023,-0.1161789,1.276812,1.840441,-0.08964248,1.620912,1.827511,-0.09289394,1.779477,1.818289,-0.2824366,1.492858,1.875853,-0.3335302,1.222784,1.883951,-0.381284,0.9978473,1.787289,-0.3761525,0.9201325,1.757258,0.07219927,1.480954,1.818933,0.1276766,1.235361,1.840199,0.05548355,0.9946618,1.667246,-0.002418775,0.9455479,1.677844,-0.2209216,0.9247626,1.803069,-0.2694559,0.4985396,1.747557,-0.3195966,0.1152175,1.741917,-0.3125578,0.1129078,1.650028,-0.05805166,0.9144032,1.786823,-0.03478081,0.5003638,1.771244,-0.02098139,0.1150512,1.792022,-0.03829641,0.1075413,1.638047,-0.09628629,1.537219,1.833311,-0.3777758,0.8466756,1.734012,-0.3907178,0.9257679,1.721561,0.0001681253,0.9048801,1.627303,-0.06739256,1.201019,1.660246
2019-12-10 22:48:41:132,-0.1307022,0.9165984,1.83816,-0.1046102,1.277219,1.841456,-0.07867962,1.620586,1.828463,-0.07800188,1.779804,1.817929,-0.2674608,1.495509,1.875088,-0.3202242,1.22627,1.884671,-0.3688215,0.9974963,1.789838,-0.3626543,0.9207698,1.761882,0.0841509,1.480154,1.820037,0.1401482,1.232347,1.840503,0.07440273,0.9901214,1.675188,0.01776875,0.939979,1.679847,-0.2093873,0.9257741,1.803633,-0.2618099,0.4925425,1.748449,-0.3196641,0.1159299,1.740575,-0.3119735,0.11301,1.650869,-0.04592502,0.9158226,1.788546,-0.0261221,0.5049796,1.772374,-0.01922933,0.1243702,1.796219,-0.03565,0.1176311,1.641874,-0.08516133,1.537065,1.834275,-0.3636737,0.8438326,1.740222,-0.3922381,0.9257631,1.7428,0.02402822,0.9018261,1.620865,0.007081645,1.170773,1.610725
2019-12-10 22:48:41:171,-0.122844,0.9180528,1.838983,-0.09464724,1.278152,1.842355,-0.06650007,1.620884,1.829466,-0.06499519,1.780046,1.818715,-0.2573999,1.496715,1.875667,-0.310878,1.227119,1.884958,-0.3578387,0.9966388,1.789664,-0.3532523,0.9198103,1.766563,0.09742311,1.479571,1.822113,0.1492945,1.230892,1.842293,0.07756761,0.9881893,1.68425,0.03358984,0.935224,1.683398,-0.201519,0.9276542,1.804103,-0.2559204,0.4905377,1.74851,-0.3177357,0.1151372,1.740367,-0.2963627,0.1125673,1.65,-0.03842929,0.9167942,1.78972,-0.02101086,0.5069286,1.773154,-0.01891042,0.125333,1.797646,-0.03434571,0.1191909,1.642957,-0.07353521,1.53753,1.83525,-0.3554429,0.8437088,1.7464,-0.3808551,0.9200032,1.741516,0.04511738,0.8996624,1.61738,0.08879759,1.142692,1.600284
2019-12-10 22:48:41:207,-0.1084324,0.9209658,1.840562,-0.07802963,1.280027,1.844374,-0.04807281,1.621741,1.832026,-0.04524015,1.78098,1.820242,-0.2392611,1.498089,1.87562,-0.2909403,1.226843,1.884644,-0.336857,0.9930749,1.793047,-0.3297536,0.9195254,1.773513,0.1178361,1.479931,1.825194,0.1678668,1.230424,1.845996,0.1486931,1.027824,1.733224,0.08521487,0.9566404,1.69309,-0.1878832,0.9304242,1.804658,-0.2343021,0.4988163,1.74611,-0.2865376,0.1098492,1.747715,-0.2621139,0.1068246,1.659292,-0.02390222,0.9196922,1.792395,-0.01339422,0.5102175,1.773673,-0.01781316,0.1285684,1.798921,-0.03184488,0.1229079,1.643706,-0.05550888,1.538634,1.837666,-0.3364996,0.8410782,1.755708,-0.3606331,0.9496576,1.764519,0.08375886,0.8875312,1.624783,0.1507172,1.185439,1.676633
2019-12-10 22:48:41:249,-0.1010996,0.9224317,1.840434,-0.06968319,1.281366,1.845348,-0.03874988,1.622997,1.834295,-0.03513594,1.782308,1.823813,-0.2306268,1.498562,1.875538,-0.2844143,1.226186,1.884551,-0.3290016,0.9897079,1.793591,-0.3186031,0.9174203,1.778799,0.1273836,1.480711,1.828087,0.1744675,1.228979,1.847629,0.1517462,1.024054,1.734119,0.09938355,0.9456757,1.699169,-0.1814201,0.931608,1.804081,-0.2248513,0.5023466,1.746026,-0.2595891,0.1014568,1.760882,-0.2362124,0.09472644,1.674849,-0.01601458,0.9213924,1.792757,-0.01054387,0.5101546,1.773672,-0.01801617,0.1287702,1.799533,-0.03084966,0.1232986,1.643965,-0.04642006,1.539904,1.839591,-0.3262426,0.8391527,1.760914,-0.3566167,0.9413671,1.7795,0.0985462,0.8759646,1.638384,0.0409619,1.123532,1.689171
2019-12-10 22:48:41:283,-0.09519748,0.9237112,1.840081,-0.0629365,1.282228,1.845886,-0.03123664,1.62343,1.835807,-0.02851615,1.782307,1.825901,-0.2224411,1.498938,1.875101,-0.2768318,1.224461,1.884111,-0.3156011,0.9805152,1.794596,-0.3053852,0.9175748,1.779539,0.1344451,1.481076,1.829815,0.1795183,1.226818,1.847895,0.1585535,1.01546,1.73595,0.1267646,0.9332166,1.702168,-0.1760118,0.9329106,1.803493,-0.212582,0.5042832,1.746465,-0.2393112,0.1023919,1.764708,-0.22616,0.09453619,1.676979,-0.009924694,0.9225746,1.792641,-0.008419137,0.510736,1.773468,-0.01802207,0.1295687,1.799527,-0.03006014,0.1239977,1.643652,-0.03908383,1.540444,1.840853,-0.3162578,0.8357825,1.764723,-0.349632,0.8876649,1.757333,0.1156888,0.8632749,1.64869,0.0800772,1.134113,1.695704
2019-12-10 22:48:41:318,-0.08954755,0.924984,1.838833,-0.05775947,1.282913,1.845999,-0.02636902,1.623636,1.837161,-0.02190428,1.783034,1.827915,-0.2179183,1.499325,1.875183,-0.2705442,1.22276,1.882441,-0.3084918,0.9766385,1.793332,-0.2968957,0.9176304,1.779812,0.1393341,1.480787,1.831005,0.1846912,1.224646,1.847419,0.1675133,1.003001,1.738711,0.1378381,0.9194154,1.707868,-0.170579,0.9340659,1.801728,-0.2015255,0.5049897,1.747589,-0.213717,0.09571648,1.775189,-0.1769121,0.08752608,1.705326,-0.004298138,0.923916,1.791895,-0.006012286,0.511004,1.772632,-0.01791849,0.1314699,1.799131,-0.0294519,0.125718,1.642987,-0.03415078,1.540761,1.841897,-0.3081648,0.8370691,1.762411,-0.350648,0.9341559,1.7985,0.1294525,0.8479946,1.659904,0.08818807,1.128748,1.696278
2019-12-10 22:48:41:353,-0.07954302,0.9266278,1.83693,-0.05121594,1.283556,1.84609,-0.0224195,1.623612,1.838554,-0.0167709,1.782991,1.830175,-0.2138375,1.499369,1.875229,-0.2641655,1.220659,1.881007,-0.3010362,0.9757029,1.794498,-0.2873081,0.915632,1.779644,0.1443519,1.480815,1.833116,0.187595,1.221928,1.847415,0.1747966,0.9861666,1.741806,0.1482107,0.907091,1.717003,-0.1610419,0.9347369,1.79938,-0.1887841,0.5054089,1.749713,-0.1931944,0.1220077,1.777538,-0.2013036,0.1406234,1.619067,0.005761176,0.9264986,1.790436,-0.004220734,0.5112913,1.771648,-0.01735168,0.1336544,1.797341,-0.02811517,0.1277379,1.640918,-0.02964378,1.540872,1.843014,-0.2939368,0.8310808,1.766758,-0.3224967,0.9332296,1.770571,0.1441501,0.8326735,1.676283,0.1000047,1.095581,1.702736
