2020-02-27 15:22:34:333, no_human
2020-02-27 15:22:34:344, no_human
2020-02-27 15:22:34:664, no_human
2020-02-27 15:22:34:733, no_human
2020-02-27 15:22:34:747, no_human
2020-02-27 15:22:34:765, no_human
2020-02-27 15:22:34:781, no_human
2020-02-27 15:22:34:836, no_human
2020-02-27 15:22:34:865, no_human
2020-02-27 15:22:34:895, no_human
2020-02-27 15:22:34:903, no_human
2020-02-27 15:22:34:918, no_human
2020-02-27 15:22:34:935, no_human
2020-02-27 15:22:34:967, no_human
2020-02-27 15:22:35:008, no_human
2020-02-27 15:22:35:035, no_human
2020-02-27 15:22:35:063, no_human
2020-02-27 15:22:35:090, no_human
2020-02-27 15:22:35:122, no_human
2020-02-27 15:22:35:157, no_human
2020-02-27 15:22:35:191, no_human
2020-02-27 15:22:35:222, no_human
2020-02-27 15:22:35:257, no_human
2020-02-27 15:22:35:295, no_human
2020-02-27 15:22:35:328, no_human
2020-02-27 15:22:35:357, no_human
2020-02-27 15:22:35:391, no_human
2020-02-27 15:22:40:431,0.3504474,1.7923122.558985
2020-02-27 15:22:40:487,0.3503302,1.7922682.558972
2020-02-27 15:22:40:552,0.3501455,1.7921842.559085
2020-02-27 15:22:40:604,0.3498616,1.7920952.558995
2020-02-27 15:22:40:647,0.349552,1.7919042.559182
2020-02-27 15:22:40:727,0.3492889,1.7917772.55908
2020-02-27 15:22:40:763,0.3489407,1.7917712.559174
2020-02-27 15:22:40:801,0.3485627,1.791822.558898
2020-02-27 15:22:40:839,0.3478828,1.7918912.558714
2020-02-27 15:22:40:875,0.3475027,1.7918782.558676
2020-02-27 15:22:40:925,0.3470816,1.7917482.558639
2020-02-27 15:22:40:962,0.3468899,1.7917162.558616
2020-02-27 15:22:41:010,0.3467049,1.7917322.558653
2020-02-27 15:22:41:061,0.3461719,1.7917672.558734
2020-02-27 15:22:41:111,0.3457393,1.7917882.558661
2020-02-27 15:22:41:159,0.3454541,1.7919452.558705
2020-02-27 15:22:41:201,0.3450774,1.7918142.558579
2020-02-27 15:22:41:243,0.3444797,1.791652.558769
2020-02-27 15:22:41:293,0.3443387,1.7917432.558738
2020-02-27 15:22:41:332,0.3442108,1.7919272.558704
2020-02-27 15:22:41:368,0.3440173,1.791882.558532
2020-02-27 15:22:41:412,0.3437606,1.7919382.558395
2020-02-27 15:22:41:459,0.3437345,1.7919252.558417
2020-02-27 15:22:41:495,0.3437016,1.7919172.558487
2020-02-27 15:22:41:544,0.3434863,1.7917942.559134
2020-02-27 15:22:41:589,0.3434269,1.7918322.559176
2020-02-27 15:22:41:631,0.3433781,1.7918372.559212
2020-02-27 15:22:41:666,0.3432907,1.7918832.559317
2020-02-27 15:22:41:701,0.3431309,1.7919432.559524
2020-02-27 15:22:41:738,0.3421907,1.7921292.56004
2020-02-27 15:22:41:774,0.3421907,1.7921292.56004
2020-02-27 15:22:41:832,0.3402043,1.7922262.560882
2020-02-27 15:22:41:872,0.3384267,1.7924152.561717
2020-02-27 15:22:41:930,0.3322321,1.7924732.564597
2020-02-27 15:22:41:976,0.3294216,1.7927612.56521
2020-02-27 15:22:42:020,0.3219371,1.792222.567924
2020-02-27 15:22:42:077,0.3184693,1.7925312.568782
2020-02-27 15:22:42:136,0.309534,1.7921872.572041
2020-02-27 15:22:42:174,0.3011563,1.7920282.573227
2020-02-27 15:22:42:213,0.296488,1.7922052.574141
2020-02-27 15:22:42:260,0.2928727,1.7918412.574714
2020-02-27 15:22:42:302,0.2884069,1.7915412.575479
2020-02-27 15:22:42:350,0.2791606,1.7907532.57702
2020-02-27 15:22:42:393,0.2744822,1.7906132.578022
2020-02-27 15:22:42:436,0.2694252,1.7899542.578766
2020-02-27 15:22:42:502,0.2622814,1.7899362.579261
2020-02-27 15:22:42:546,0.2555053,1.7905682.579096
2020-02-27 15:22:42:587,0.2530238,1.7901772.579395
2020-02-27 15:22:42:641,0.2506976,1.7907782.578762
2020-02-27 15:22:42:677,0.2483243,1.7911052.577975
2020-02-27 15:22:42:713,0.247982,1.7910232.577318
2020-02-27 15:22:42:761,0.2482951,1.7909422.57637
2020-02-27 15:22:42:803,0.249738,1.7900932.574417
2020-02-27 15:22:42:854,0.2598282,1.7893212.565533
2020-02-27 15:22:42:892,0.2672305,1.7901212.559665
2020-02-27 15:22:42:940,0.2768894,1.7907522.554192
2020-02-27 15:22:42:985,0.2985232,1.7888952.54154
2020-02-27 15:22:43:024,0.3091176,1.786992.53432
2020-02-27 15:22:43:061,0.3199422,1.785062.527792
2020-02-27 15:22:43:096,0.3334618,1.7857472.518467
2020-02-27 15:22:43:133,0.3430463,1.7856522.513821
2020-02-27 15:22:43:179,0.3544179,1.7848672.508087
2020-02-27 15:22:43:225,0.3734089,1.7821382.498928
2020-02-27 15:22:43:269,0.384748,1.7807722.495731
2020-02-27 15:22:43:310,0.4033699,1.7825152.492043
2020-02-27 15:22:43:354,0.4104632,1.7821512.491281
2020-02-27 15:22:43:403,0.4184868,1.7827952.491111
2020-02-27 15:22:43:444,0.4317082,1.7830352.49201
2020-02-27 15:22:43:480,0.4383931,1.7836342.493297
2020-02-27 15:22:43:520,0.4421704,1.7834282.494186
2020-02-27 15:22:43:556,0.4458805,1.7834022.49565
2020-02-27 15:22:43:593,0.4482267,1.7826022.49701
2020-02-27 15:22:43:635,0.4498906,1.7823342.498076
2020-02-27 15:22:43:674,0.451974,1.7829172.500051
2020-02-27 15:22:43:708,0.4548102,1.7834622.505497
2020-02-27 15:22:43:751,0.4550596,1.7827622.510384
2020-02-27 15:22:43:787,0.4556895,1.7823632.519623
