2019-12-23 17:48:45:305,0.3876858,0.9073653,2.085556,0.4179595,1.274778,2.058684,0.4437311,1.627025,2.016225,0.5213729,1.748629,2.00906,0.278511,1.506551,1.945797,0.07021654,1.333598,1.961573,0.1298577,1.105576,1.925961,0.1487172,1.023549,1.922844,0.5434948,1.457721,2.085491,0.501945,1.138091,2.034678,0.2879987,1.047921,1.836053,0.2558029,1.016322,1.866085,0.3190496,0.9220734,2.017572,0.28207,0.5285192,1.829181,0.2316267,0.06925964,1.805736,0.3190844,0.06255031,1.748994,0.4405468,0.9004593,2.069242,0.4047693,1.224741,1.799328,0.4057605,0.6863959,1.854685,0.4561341,0.6715376,1.709286,0.4379905,1.541071,2.029399,0.1674699,0.956873,1.921837,0.2038034,1.017926,1.8879,0.2223314,0.9715477,1.881675,0.2882162,1.188839,1.811976,0
2019-12-23 17:48:45:506,0.4073685,0.9077776,2.080399,0.4336868,1.268531,2.083215,0.4580572,1.613612,2.071745,0.5235205,1.747516,2.050869,0.2856636,1.512235,2.028877,0.07538038,1.3605,2.103986,0.1140755,1.10261,2.068104,0.1383699,1.015478,2.059856,0.5848927,1.459615,2.139511,0.5968832,1.26226,2.296302,0.5619254,1.421401,2.123319,0.5389115,1.487225,2.084844,0.3306754,0.92387,2.010762,0.298935,0.3960646,1.950713,0.284555,0.04601622,1.853325,0.355775,0.03412008,1.836995,0.4660692,0.8997185,2.067954,0.3396873,0.3901825,1.977459,0.4106018,-0.01774704,2.026739,0.4898167,0.002351999,1.960328,0.4526432,1.529375,2.077089,0.1832372,0.941943,2.055953,0.1773672,0.9779084,1.988386,0.4730622,1.556583,2.060474,0.4895419,1.629203,2.009929,0
2019-12-23 17:48:46:101,0.3251798,0.8991666,2.101548,0.3423632,1.261722,2.113607,0.3556157,1.609858,2.110062,0.3619448,1.766394,2.092571,0.2250441,1.52334,2.113195,0.05302146,1.305267,2.223458,0.07743912,1.088827,2.15857,0.09632952,0.9955092,2.126182,0.5201073,1.476811,2.10442,0.6176333,1.266709,2.241138,0.5788818,1.046511,2.212291,0.5624242,1.04501,2.179902,0.2447731,0.9026371,2.057321,0.2360127,0.3762954,2.004593,0.1797015,-0.009546041,1.964125,0.2489928,-0.007081628,1.930795,0.3922423,0.9024601,2.062631,0.3793314,0.3556206,2.048098,0.3634099,-0.03721535,2.038733,0.3999352,-0.03076243,1.933027,0.3528548,1.524763,2.113533,0.1200003,0.9078575,2.133676,0.1240048,1.045074,2.019893,0.5573362,1.021964,2.158484,0.5536845,1.258337,2.1555,0
2019-12-23 17:48:47:632,0.3159949,0.8898426,2.121928,0.3030977,1.267588,2.097132,0.2902517,1.631611,2.056831,0.3837083,1.752412,2.050453,0.1450415,1.503844,1.981032,-0.03946519,1.279894,1.9827,0.02270035,1.058184,1.96653,0.05991197,1.012721,1.989883,0.4134914,1.484068,2.129588,0.3687826,1.254379,2.097822,0.227468,1.047746,1.922767,0.1942164,0.9755664,1.946975,0.2466836,0.9065567,2.044519,0.1944526,0.3241942,1.993641,0.1786736,-0.0268507,1.976374,0.2459485,-0.02874398,1.962054,0.3735429,0.8827866,2.115753,0.3853578,0.2823272,2.129092,0.3539719,-0.05438864,2.090144,0.397874,-0.04667294,1.982345,0.2936789,1.542506,2.069537,0.07993689,0.9295796,2.002975,0.02092705,0.9820223,1.9324,0.1950007,0.9010482,1.931929,0.1309099,1.222171,1.945296,0
2019-12-23 17:48:47:668,0.3311856,0.8915147,2.129075,0.3232275,1.271725,2.10522,0.3167444,1.638279,2.066511,0.4169871,1.751798,2.075843,0.1729043,1.501186,1.985852,-0.01930456,1.286856,1.969507,0.04630809,1.066376,1.958421,0.08171614,1.023162,1.983622,0.4405392,1.490357,2.142808,0.3130116,1.235439,1.991691,0.2421452,0.9341236,1.950264,0.217047,0.8391637,1.955026,0.2681067,0.9163076,2.058073,0.2105206,0.3873929,1.987412,0.180454,-0.00120604,1.974865,0.234175,0.000303626,1.843355,0.3837271,0.8766364,2.119989,0.3881374,0.27678,2.138639,0.3497128,-0.0608536,2.089203,0.3991829,-0.05501819,1.988343,0.3183222,1.548511,2.078774,0.09758489,0.9370708,1.988712,0.04426187,1.006269,1.936929,0.1852061,0.7578367,1.943402,0.1410608,1.090031,1.973036,0
2019-12-23 17:48:47:764,0.3416057,0.8815987,2.135497,0.345017,1.267486,2.118209,0.3481251,1.640121,2.087029,0.4467754,1.75116,2.10149,0.2206446,1.500993,1.997748,0.01083997,1.304141,1.953207,0.08009981,1.05212,1.961022,0.1132073,1.003246,1.983092,0.4714132,1.492047,2.163889,0.3767898,1.243924,2.075172,0.2634303,0.960736,2.001901,0.2257358,0.8574744,1.963609,0.2794364,0.9000693,2.065753,0.2238048,0.3902928,1.982528,0.1823716,0.009172678,1.971986,0.2522715,-0.01488721,1.96181,0.3911334,0.8713319,2.12361,0.3913822,0.2708458,2.136458,0.3496429,-0.06679142,2.090583,0.402565,-0.05397964,1.986969,0.3477026,1.548929,2.097326,0.1041169,0.9091535,2.000166,0.07667568,0.9972399,1.934,0.199638,0.779836,1.947521,0.1537545,1.113614,1.99315,0
2019-12-23 17:48:47:797,0.3704902,0.885078,2.148932,0.3777286,1.269261,2.140194,0.3834221,1.638725,2.117418,0.4896854,1.742173,2.136265,0.2612135,1.50064,2.015238,0.03760745,1.300991,1.950273,0.109491,1.083723,1.959486,0.135391,0.9976157,1.975134,0.5064784,1.490716,2.194327,0.30415,1.326854,2.001354,0.284162,1.017115,1.967756,0.2901449,0.8158312,1.968163,0.3103972,0.8901027,2.07814,0.2347329,0.3892118,1.983221,0.1885823,0.01077533,1.96572,0.2545137,-0.01444745,1.951204,0.4175633,0.8889351,2.136974,0.3921468,0.2862775,2.131421,0.3509433,-0.05140984,2.090286,0.3986307,-0.05366158,1.994166,0.3823553,1.54841,2.125543,0.1428629,0.9242364,1.998063,0.1118387,0.9773234,1.937541,0.2870219,0.7285917,1.94927,0.2253468,1.032443,1.934479,0
2019-12-23 17:48:47:871,0.3871036,0.8837869,2.160936,0.4007522,1.26913,2.159415,0.4122184,1.638801,2.143827,0.5181919,1.745116,2.168185,0.2927893,1.49739,2.03262,0.07551419,1.30484,1.953953,0.1215327,1.08189,1.972932,0.1591059,0.9830732,1.973794,0.5351284,1.49087,2.220713,0.3327436,1.327063,2.02776,0.2197717,1.036878,2.023318,0.2027929,0.9570367,2.001712,0.3285295,0.8974347,2.093917,0.2439966,0.3875229,1.986682,0.1881617,-0.007058859,1.969328,0.2682832,-0.01949263,1.949876,0.432697,0.8826839,2.147082,0.3950091,0.2799675,2.132736,0.3523,-0.05699217,2.091577,0.4013095,-0.05419767,1.990639,0.4097812,1.548521,2.150148,0.1629607,0.9181249,2.004829,0.1469968,0.9316836,1.9768,0.19996,0.8772998,2.021042,0.1586158,1.162508,1.948429,0
2019-12-23 17:48:47:906,0.4110778,0.8747607,2.18196,0.4217017,1.265223,2.179568,0.4288991,1.639819,2.161363,0.5461978,1.736233,2.194921,0.3083461,1.496554,2.040235,0.09547435,1.312445,1.95476,0.1356253,1.094789,2.002896,0.1501147,1.020233,2.078299,0.5517273,1.491938,2.238234,0.3492981,1.328171,2.0453,0.2283901,1.041032,2.031549,0.215656,0.97021,2.011146,0.3508865,0.8911565,2.112519,0.2510099,0.3887088,1.987967,0.1870958,-0.004781246,1.968691,0.2709479,-0.01486862,1.946493,0.455207,0.8678129,2.168217,0.3989341,0.2656361,2.134554,0.352064,-0.06851935,2.092736,0.4089909,-0.04954529,1.984281,0.4276152,1.548337,2.168466,0.1564703,0.9589149,2.088764,0.1351641,1.063838,2.052625,0.1853936,0.863647,2.043378,0.1624189,1.194732,2.038643,0
2019-12-23 17:48:47:991,0.4140505,0.8774197,2.172232,0.4340636,1.266944,2.18583,0.4557858,1.638263,2.18995,0.5695066,1.738626,2.220965,0.338594,1.494038,2.061157,0.1245172,1.317111,1.959992,0.1527289,1.088799,1.953453,0.2140983,1.025182,1.962351,0.5784841,1.490471,2.266787,0.3759778,1.326794,2.073881,0.2333397,1.059899,1.987503,0.2283423,1.004836,1.977204,0.3522793,0.8955078,2.101278,0.2909745,0.3889374,1.998598,0.1813349,0.02240849,1.959108,0.2823851,-0.01271784,1.947862,0.4600722,0.8682491,2.159611,0.417255,0.265622,2.13609,0.3586173,-0.05910468,2.0942,0.4287903,-0.04873061,1.996943,0.4513316,1.547519,2.191237,0.2126697,1.002084,1.958433,0.2047648,1.004638,1.942667,0.2305066,0.9512548,1.978795,0.2087389,1.211615,1.9385,0
