2019-12-10 22:15:08:480, no_human
2019-12-10 22:15:08:490, no_human
2019-12-10 22:15:08:738, no_human
2019-12-10 22:15:08:822, no_human
2019-12-10 22:15:08:839, no_human
2019-12-10 22:15:08:854, no_human
2019-12-10 22:15:08:871, no_human
2019-12-10 22:15:08:888, no_human
2019-12-10 22:15:08:905, no_human
2019-12-10 22:15:08:921, no_human
2019-12-10 22:15:08:961, no_human
2019-12-10 22:15:08:968, no_human
2019-12-10 22:15:08:997, no_human
2019-12-10 22:15:09:014, no_human
2019-12-10 22:15:09:023, no_human
2019-12-10 22:15:09:040, no_human
2019-12-10 22:15:09:054, no_human
2019-12-10 22:15:09:071, no_human
2019-12-10 22:15:09:114, no_human
2019-12-10 22:15:09:144, no_human
2019-12-10 22:15:09:176, no_human
2019-12-10 22:15:09:205, no_human
2019-12-10 22:15:09:233, no_human
2019-12-10 22:15:09:264, no_human
2019-12-10 22:15:09:273, no_human
2019-12-10 22:15:09:310, no_human
2019-12-10 22:15:09:337, no_human
2019-12-10 22:15:09:366, no_human
2019-12-10 22:15:09:377, no_human
2019-12-10 22:15:09:413, no_human
2019-12-10 22:15:09:443, no_human
2019-12-10 22:15:09:472, no_human
2019-12-10 22:15:09:500, no_human
2019-12-10 22:15:09:529, no_human
2019-12-10 22:15:09:537, no_human
2019-12-10 22:15:13:179,-1.000603,1.6699542.512283
2019-12-10 22:15:13:217,-1.017837,1.6771422.527146
2019-12-10 22:15:13:257,-1.023173,1.678782.531652
2019-12-10 22:15:13:293,-1.029604,1.680952.538843
2019-12-10 22:15:13:338,-1.03582,1.6819432.545055
2019-12-10 22:15:13:390,-1.04084,1.6827992.549629
2019-12-10 22:15:13:441,-1.050063,1.6860772.558521
2019-12-10 22:15:13:484,-1.054405,1.68932.562722
2019-12-10 22:15:13:541,-1.060067,1.69022.568333
2019-12-10 22:15:13:585,-1.06232,1.691392.570168
2019-12-10 22:15:13:642,-1.066485,1.6938912.573762
2019-12-10 22:15:13:681,-1.068424,1.6945772.57528
2019-12-10 22:15:13:723,-1.070642,1.6953232.576716
2019-12-10 22:15:13:772,-1.071102,1.6955162.576904
2019-12-10 22:15:13:813,-1.071679,1.6957982.57709
2019-12-10 22:15:13:905,-1.072817,1.6963832.577145
2019-12-10 22:15:13:952,-1.073261,1.6966242.576986
2019-12-10 22:15:14:004,-1.07401,1.6969082.576883
2019-12-10 22:15:14:052,-1.074612,1.6972392.576839
2019-12-10 22:15:14:103,-1.075202,1.6973332.57656
2019-12-10 22:15:14:152,-1.075526,1.6973042.576293
2019-12-10 22:15:14:195,-1.076348,1.6978692.575352
2019-12-10 22:15:14:240,-1.076751,1.6978892.574805
2019-12-10 22:15:14:282,-1.077014,1.6979372.574222
2019-12-10 22:15:14:323,-1.077529,1.697962.571381
2019-12-10 22:15:14:367,-1.077826,1.6979892.569858
2019-12-10 22:15:14:410,-1.078175,1.6979172.567792
2019-12-10 22:15:14:455,-1.078225,1.6975282.564414
2019-12-10 22:15:14:493,-1.077608,1.6959852.555012
2019-12-10 22:15:14:542,-1.077453,1.6931112.54935
2019-12-10 22:15:14:583,-1.076654,1.6865912.537339
2019-12-10 22:15:14:624,-1.07626,1.6772722.526208
2019-12-10 22:15:14:669,-1.073023,1.6458432.496637
2019-12-10 22:15:14:708,-1.072926,1.6313482.484393
2019-12-10 22:15:14:756,-1.069754,1.6028542.462796
2019-12-10 22:15:14:794,-1.070569,1.5388052.43822
2019-12-10 22:15:14:831,-1.069908,1.5019442.427855
2019-12-10 22:15:14:871,-1.070499,1.4680442.422055
2019-12-10 22:15:14:908,-1.072839,1.4286652.417594
2019-12-10 22:15:14:959,-1.069605,1.3961472.407634
2019-12-10 22:15:14:996,-1.071486,1.3461342.387469
2019-12-10 22:15:15:033,-1.071102,1.3280022.386523
2019-12-10 22:15:15:069,-1.069938,1.2935272.384504
2019-12-10 22:15:15:113,-1.071332,1.2716392.389708
2019-12-10 22:15:15:156,-1.074884,1.2262912.40378
2019-12-10 22:15:15:199,-1.075715,1.2057842.414352
2019-12-10 22:15:15:239,-1.07609,1.1948252.421198
2019-12-10 22:15:15:278,-1.079083,1.1701782.441819
2019-12-10 22:15:15:315,-1.079598,1.1651982.446763
2019-12-10 22:15:15:353,-1.084264,1.141692.491009
2019-12-10 22:15:15:397,-1.083807,1.1348982.513718
2019-12-10 22:15:15:435,-1.07871,1.120462.54822
2019-12-10 22:15:15:477,-1.083419,1.1242112.577357
2019-12-10 22:15:15:514,-1.085623,1.1180322.606938
2019-12-10 22:15:15:551,-1.088623,1.1220532.644166
2019-12-10 22:15:15:593,-1.088095,1.1337362.704297
2019-12-10 22:15:15:630,-1.0905,1.1425552.732818
2019-12-10 22:15:15:668,-1.091591,1.1565952.765025
2019-12-10 22:15:15:705,-1.092026,1.1687742.796649
2019-12-10 22:15:15:743,-1.092485,1.1714412.816495
2019-12-10 22:15:15:781,-1.09008,1.1790862.847257
2019-12-10 22:15:15:828,-1.08985,1.1846712.877985
2019-12-10 22:15:15:866,-1.088749,1.1853032.898402
2019-12-10 22:15:15:901,-1.086992,1.1880782.911579
2019-12-10 22:15:15:936,-1.084462,1.1890372.921587
2019-12-10 22:15:15:976,-1.08274,1.1917112.933316
2019-12-10 22:15:16:017,-1.08101,1.1921162.939363
2019-12-10 22:15:16:063,-1.078611,1.1957062.949766
2019-12-10 22:15:16:099,-1.076159,1.1978212.952912
2019-12-10 22:15:16:134,-1.073706,1.1984162.95615
2019-12-10 22:15:16:177,-1.071938,1.1995262.957057
2019-12-10 22:15:16:217,-1.068975,1.2013962.958824
2019-12-10 22:15:16:259,-1.065371,1.202922.960902
2019-12-10 22:15:16:298,-1.063492,1.2036742.962094
2019-12-10 22:15:16:339,-1.062061,1.2036252.962514
2019-12-10 22:15:16:378,-1.060467,1.2046262.962913
2019-12-10 22:15:16:413,-1.059137,1.2047252.963189
2019-12-10 22:15:16:452,-1.057438,1.2052712.964046
2019-12-10 22:15:16:488,-1.055109,1.2054122.964219
2019-12-10 22:15:16:524,-1.054324,1.2051752.964401
2019-12-10 22:15:16:566,-1.053436,1.2047912.964864
2019-12-10 22:15:16:603,-1.052575,1.2045282.965396
2019-12-10 22:15:16:641,-1.051425,1.2044342.965444
2019-12-10 22:15:16:677,-1.050333,1.2047582.965632
2019-12-10 22:15:16:711,-1.049867,1.2049192.966245
2019-12-10 22:15:16:754,-1.049498,1.2048522.966887
2019-12-10 22:15:16:792,-1.048554,1.2046622.967655
2019-12-10 22:15:16:826,-1.048261,1.2047142.968037
2019-12-10 22:15:16:867,-1.047995,1.20482.968686
2019-12-10 22:15:16:905,-1.04795,1.2047982.969154
2019-12-10 22:15:16:943,-1.047724,1.2049292.969989
2019-12-10 22:15:16:981,-1.047378,1.2049432.970884
2019-12-10 22:15:17:019,-1.047425,1.2054312.971623
2019-12-10 22:15:17:067,-1.047344,1.2054842.972004
2019-12-10 22:15:17:110,-1.047106,1.2055882.972046
2019-12-10 22:15:17:154,-1.047194,1.2055152.972123
2019-12-10 22:15:17:197,-1.047213,1.205322.972271
2019-12-10 22:15:17:244,-1.047178,1.2052862.97238
2019-12-10 22:15:17:283,-1.047166,1.2051982.97259
2019-12-10 22:15:17:318,-1.04706,1.2052892.972636
2019-12-10 22:15:17:356,-1.046808,1.2052352.972635
2019-12-10 22:15:17:399,-1.04672,1.2051482.972743
2019-12-10 22:15:17:439,-1.0467,1.2050992.97264
2019-12-10 22:15:17:479,-1.046638,1.2052352.972964
2019-12-10 22:15:17:516,-1.046644,1.2050982.973387
2019-12-10 22:15:17:551,-1.046418,1.2047192.973499
2019-12-10 22:15:17:593,-1.046341,1.204662.973607
2019-12-10 22:15:17:631,-1.046345,1.2046912.973606
2019-12-10 22:15:17:667,-1.046315,1.2046332.973604
2019-12-10 22:15:17:707,-1.046338,1.2045992.973571
2019-12-10 22:15:17:746,-1.046336,1.2045692.97357
2019-12-10 22:15:17:782,-1.046405,1.2045912.973664
2019-12-10 22:15:17:818,-1.046421,1.204572.973738
2019-12-10 22:15:17:859,-1.046455,1.2047132.973672
2019-12-10 22:15:17:895,-1.046503,1.2047842.973848
2019-12-10 22:15:17:932,-1.046499,1.2047872.973858
2019-12-10 22:15:17:970,-1.046589,1.2046252.973701
2019-12-10 22:15:18:009,-1.046709,1.2047092.973744
2019-12-10 22:15:18:053,-1.046722,1.2047742.973697
2019-12-10 22:15:18:093,-1.046792,1.204732.973688
2019-12-10 22:15:18:135,-1.046917,1.2048012.973557
2019-12-10 22:15:18:181,-1.0471,1.2047562.97333
2019-12-10 22:15:18:215,-1.047196,1.2045962.973215
2019-12-10 22:15:18:256,-1.047238,1.2044752.972775
2019-12-10 22:15:18:298,-1.047207,1.204462.972674
2019-12-10 22:15:18:335,-1.047231,1.2044392.972485
2019-12-10 22:15:18:376,-1.047356,1.2043722.972371
2019-12-10 22:15:18:413,-1.047426,1.2043412.972286
2019-12-10 22:15:18:455,-1.047421,1.204272.972131
2019-12-10 22:15:18:492,-1.04744,1.2042672.972082
2019-12-10 22:15:18:534,-1.047668,1.204372.972379
2019-12-10 22:15:18:581,-1.047682,1.2043962.972096
2019-12-10 22:15:18:618,-1.04782,1.2042752.971812
2019-12-10 22:15:18:661,-1.048054,1.2042932.970907
2019-12-10 22:15:18:698,-1.048085,1.2042462.970857
2019-12-10 22:15:18:738,-1.04814,1.2043062.970801
2019-12-10 22:15:18:775,-1.048105,1.204272.970826
2019-12-10 22:15:18:810,-1.048216,1.2041162.970748
2019-12-10 22:15:18:848,-1.048188,1.2038922.970494
2019-12-10 22:15:18:882,-1.048184,1.2037812.970392
2019-12-10 22:15:18:919,-1.048226,1.2037132.970225
2019-12-10 22:15:18:971,-1.048254,1.2036452.970106
2019-12-10 22:15:19:007,-1.04832,1.2037142.970033
2019-12-10 22:15:19:047,-1.048313,1.203672.969981
2019-12-10 22:15:19:085,-1.048364,1.2034172.96969
2019-12-10 22:15:19:118,-1.048442,1.2032782.969532
2019-12-10 22:15:19:164,-1.048485,1.2032952.969361
2019-12-10 22:15:19:205,-1.048449,1.2032662.96929
2019-12-10 22:15:19:245,-1.048432,1.2032252.969146
2019-12-10 22:15:19:281,-1.048358,1.2030092.969041
2019-12-10 22:15:19:319,-1.048302,1.203092.968903
2019-12-10 22:15:19:359,-1.048338,1.2029412.968582
2019-12-10 22:15:19:398,-1.048375,1.2029812.968495
2019-12-10 22:15:19:434,-1.048381,1.2029752.968496
2019-12-10 22:15:19:475,-1.048401,1.2029092.968463
2019-12-10 22:15:19:513,-1.048422,1.2028492.968566
2019-12-10 22:15:19:547,-1.048828,1.2027942.968476
2019-12-10 22:15:19:581,-1.049028,1.2027732.968085
2019-12-10 22:15:19:624,-1.048958,1.2028742.967936
2019-12-10 22:15:19:662,-1.049122,1.2027162.967913
2019-12-10 22:15:19:703,-1.0493,1.2025422.967635
2019-12-10 22:15:19:738,-1.049328,1.202572.967549
2019-12-10 22:15:19:775,-1.049557,1.2025042.967407
2019-12-10 22:15:19:810,-1.04973,1.20252.96721
