2019-12-10 22:45:41:051, no_human
2019-12-10 22:45:41:063, no_human
2019-12-10 22:45:41:343, no_human
2019-12-10 22:45:41:438, no_human
2019-12-10 22:45:41:466, no_human
2019-12-10 22:45:41:481, no_human
2019-12-10 22:45:41:498, no_human
2019-12-10 22:45:41:514, no_human
2019-12-10 22:45:41:561, no_human
2019-12-10 22:45:41:582, no_human
2019-12-10 22:45:41:593, no_human
2019-12-10 22:45:41:606, no_human
2019-12-10 22:45:41:622, no_human
2019-12-10 22:45:41:671, no_human
2019-12-10 22:45:41:699, no_human
2019-12-10 22:45:41:733, no_human
2019-12-10 22:45:41:764, no_human
2019-12-10 22:45:41:799, no_human
2019-12-10 22:45:41:832, no_human
2019-12-10 22:45:41:864, no_human
2019-12-10 22:45:41:894, no_human
2019-12-10 22:45:41:923, no_human
2019-12-10 22:45:41:954, no_human
2019-12-10 22:45:41:984, no_human
2019-12-10 22:45:41:991, no_human
2019-12-10 22:45:42:030, no_human
2019-12-10 22:45:42:065, no_human
2019-12-10 22:45:42:102, no_human
2019-12-10 22:45:42:137, no_human
2019-12-10 22:45:42:174, no_human
2019-12-10 22:45:47:152,2.687648,2.837099
2019-12-10 22:45:47:194,2.68688,2.837693
2019-12-10 22:45:47:235,2.685035,2.838445
2019-12-10 22:45:47:286,2.682667,2.840932
2019-12-10 22:45:47:335,2.681478,2.841526
2019-12-10 22:45:47:377,2.681026,2.843295
2019-12-10 22:45:47:423,2.680576,2.844203
2019-12-10 22:45:47:462,2.681004,2.845273
2019-12-10 22:45:47:500,2.680043,2.846562
2019-12-10 22:45:47:541,2.681111,2.850173
2019-12-10 22:45:47:590,2.68136,2.852206
2019-12-10 22:45:47:630,2.681169,2.853751
2019-12-10 22:45:47:671,2.681398,2.855488
2019-12-10 22:45:47:707,2.682027,2.861118
2019-12-10 22:45:47:759,2.681972,2.862059
2019-12-10 22:45:47:799,2.682085,2.864859
2019-12-10 22:45:47:842,2.68102,2.867587
2019-12-10 22:45:47:891,2.680679,2.869647
2019-12-10 22:45:47:934,2.680471,2.870926
2019-12-10 22:45:47:979,2.68034,2.872372
2019-12-10 22:45:48:023,2.680433,2.874117
2019-12-10 22:45:48:062,2.679317,2.875504
2019-12-10 22:45:48:102,2.678831,2.8759
2019-12-10 22:45:48:156,2.677006,2.876882
2019-12-10 22:45:48:196,2.676427,2.877604
2019-12-10 22:45:48:238,2.675297,2.878573
2019-12-10 22:45:48:296,2.673337,2.88037
2019-12-10 22:45:48:339,2.671055,2.881595
2019-12-10 22:45:48:388,2.671014,2.88166
2019-12-10 22:45:48:434,2.670457,2.881902
2019-12-10 22:45:48:487,2.669389,2.882775
2019-12-10 22:45:48:528,2.668963,2.88348
2019-12-10 22:45:48:565,2.667742,2.884281
2019-12-10 22:45:48:606,2.667281,2.884467
2019-12-10 22:45:48:645,2.666825,2.88478
2019-12-10 22:45:48:688,2.666888,2.88482
2019-12-10 22:45:48:731,2.666069,2.884881
2019-12-10 22:45:48:768,2.66566,2.885048
2019-12-10 22:45:48:808,2.665275,2.88517
2019-12-10 22:45:48:857,2.664996,2.885314
2019-12-10 22:45:48:901,2.665055,2.885354
2019-12-10 22:45:48:945,2.664741,2.884979
2019-12-10 22:45:48:989,2.66464,2.885031
2019-12-10 22:45:49:032,2.664643,2.885072
2019-12-10 22:45:49:078,2.664474,2.88503
2019-12-10 22:45:49:123,2.664272,2.884914
2019-12-10 22:45:49:164,2.664515,2.884755
2019-12-10 22:45:49:201,2.664502,2.884629
2019-12-10 22:45:49:238,2.664431,2.884793
2019-12-10 22:45:49:289,2.664486,2.88492
2019-12-10 22:45:49:328,2.66489,2.88514
2019-12-10 22:45:49:366,2.664843,2.88507
2019-12-10 22:45:49:404,2.66472,2.885282
2019-12-10 22:45:49:456,2.664798,2.885502
2019-12-10 22:45:49:501,2.664766,2.885739
2019-12-10 22:45:49:544,2.664428,2.886083
2019-12-10 22:45:49:589,2.664242,2.886301
2019-12-10 22:45:49:627,2.664279,2.886315
2019-12-10 22:45:49:664,2.664571,2.886828
2019-12-10 22:45:49:705,2.664484,2.886926
2019-12-10 22:45:49:746,2.664402,2.887049
2019-12-10 22:45:49:788,2.664736,2.88733
2019-12-10 22:45:49:828,2.665812,2.88778
2019-12-10 22:45:49:866,2.665984,2.888035
2019-12-10 22:45:49:922,2.666229,2.888242
2019-12-10 22:45:49:959,2.666193,2.888206
2019-12-10 22:45:50:003,2.666097,2.888224
2019-12-10 22:45:50:056,2.666002,2.888254
2019-12-10 22:45:50:095,2.666012,2.888452
2019-12-10 22:45:50:132,2.665454,2.88867
2019-12-10 22:45:50:173,2.665875,2.888988
2019-12-10 22:45:50:231,2.66642,2.888862
2019-12-10 22:45:50:266,2.666138,2.888701
2019-12-10 22:45:50:305,2.665752,2.888547
2019-12-10 22:45:50:356,2.665708,2.888602
2019-12-10 22:45:50:398,2.665643,2.888627
2019-12-10 22:45:50:434,2.664948,2.888108
2019-12-10 22:45:50:472,2.664939,2.888104
2019-12-10 22:45:50:518,2.664756,2.887979
2019-12-10 22:45:50:566,2.665251,2.887752
2019-12-10 22:45:50:621,2.664924,2.887117
2019-12-10 22:45:50:657,2.664515,2.887245
2019-12-10 22:45:50:695,2.664521,2.887223
2019-12-10 22:45:50:734,2.664532,2.887366
2019-12-10 22:45:50:775,2.663567,2.887164
2019-12-10 22:45:50:823,2.663557,2.887162
2019-12-10 22:45:50:863,2.663401,2.887222
2019-12-10 22:45:50:899,2.663131,2.887121
2019-12-10 22:45:50:938,2.662891,2.886931
2019-12-10 22:45:50:989,2.662787,2.8868
2019-12-10 22:45:51:028,2.662763,2.886803
2019-12-10 22:45:51:069,2.662879,2.886977
2019-12-10 22:45:51:122,2.662878,2.886974
2019-12-10 22:45:51:163,2.662859,2.886996
2019-12-10 22:45:51:201,2.662905,2.886909
2019-12-10 22:45:51:242,2.663024,2.886796
2019-12-10 22:45:51:289,2.663013,2.886804
2019-12-10 22:45:51:330,2.66351,2.886523
2019-12-10 22:45:51:366,2.663527,2.886404
2019-12-10 22:45:51:404,2.663459,2.886364
2019-12-10 22:45:51:440,2.663599,2.886089
2019-12-10 22:45:51:489,2.670737,2.887373
2019-12-10 22:45:51:529,2.670294,2.887142
2019-12-10 22:45:51:570,2.668896,2.886417
2019-12-10 22:45:51:624,2.668262,2.885628
2019-12-10 22:45:51:666,2.66777,2.885482
2019-12-10 22:45:51:708,2.667679,2.885025
2019-12-10 22:45:51:760,2.667567,2.884953
2019-12-10 22:45:51:799,2.66765,2.884836
2019-12-10 22:45:51:848,2.66772,2.884574
2019-12-10 22:45:51:890,2.668111,2.884456
2019-12-10 22:45:51:930,2.668051,2.884407
2019-12-10 22:45:51:965,2.668165,2.883549
2019-12-10 22:45:52:000,2.668915,2.883618
2019-12-10 22:45:52:045,2.670876,2.88404
2019-12-10 22:45:52:091,2.671906,2.883942
2019-12-10 22:45:52:156,2.673393,2.88423
2019-12-10 22:45:52:200,2.675146,2.884205
2019-12-10 22:45:52:244,2.675776,2.883681
2019-12-10 22:45:52:293,2.675958,2.883655
2019-12-10 22:45:52:333,2.677432,2.884464
2019-12-10 22:45:52:384,2.678701,2.883715
2019-12-10 22:45:52:427,2.6788,2.88394
2019-12-10 22:45:52:465,2.679013,2.884063
2019-12-10 22:45:52:519,2.680334,2.883691
2019-12-10 22:45:52:555,2.681931,2.883332
2019-12-10 22:45:52:592,2.683563,2.883415
2019-12-10 22:45:52:633,2.684806,2.883974
2019-12-10 22:45:52:670,2.685913,2.883138
2019-12-10 22:45:52:725,2.694978,2.884044
2019-12-10 22:45:52:765,2.694556,2.883931
2019-12-10 22:45:52:804,2.694365,2.883848
2019-12-10 22:45:52:845,2.695065,2.883451
2019-12-10 22:45:52:890,2.702223,2.882824
2019-12-10 22:45:52:939,2.707693,2.882865
2019-12-10 22:45:52:978,2.717953,2.882046
2019-12-10 22:45:53:021,2.736676,2.880302
2019-12-10 22:45:53:060,2.742132,2.881912
2019-12-10 22:45:53:098,2.748211,2.882351
2019-12-10 22:45:53:143,2.762237,2.881755
2019-12-10 22:45:53:180,2.768875,2.881408
2019-12-10 22:45:53:235,2.775137,2.880519
2019-12-10 22:45:53:290,2.790566,2.874198
2019-12-10 22:45:53:332,2.788581,2.868817
2019-12-10 22:45:53:378,2.838876,2.870296
2019-12-10 22:45:53:423,2.852172,2.868824
2019-12-10 22:45:53:462,2.870301,2.868155
2019-12-10 22:45:53:501,2.868654,2.86327
2019-12-10 22:45:53:540,2.938288,2.865057
2019-12-10 22:45:53:589,2.941784,2.864193
2019-12-10 22:45:53:631,2.971447,2.860712
2019-12-10 22:45:53:668,2.987716,2.858478
2019-12-10 22:45:53:705,3.012589,2.85102
2019-12-10 22:45:53:746,3.041306,2.833409
2019-12-10 22:45:53:792,3.081001,2.83114
2019-12-10 22:45:53:833,3.118111,2.830157
2019-12-10 22:45:53:871,3.193748,2.827118
2019-12-10 22:45:53:922,3.250743,2.822328
2019-12-10 22:45:53:965,3.299971,2.82069
2019-12-10 22:45:54:022,3.425197,2.819854
2019-12-10 22:45:54:063,3.49284,2.824764
2019-12-10 22:45:54:118,3.635039,2.816116
2019-12-10 22:45:54:158,3.715024,2.816032
2019-12-10 22:45:54:199,3.798476,2.807982
2019-12-10 22:45:54:244,3.941393,2.79904
2019-12-10 22:45:54:292,4.016398,2.794359
2019-12-10 22:45:54:333,4.082757,2.782261
2019-12-10 22:45:54:384,4.211476,2.768144
2019-12-10 22:45:54:424,4.293187,2.762791
2019-12-10 22:45:54:474,4.373047,2.761101
2019-12-10 22:45:54:524,4.442833,2.750931
2019-12-10 22:45:54:567,4.536805,2.751096
2019-12-10 22:45:54:607,4.622303,2.742598
2019-12-10 22:45:54:654,4.626565,2.748048
2019-12-10 22:45:54:699,4.656324,2.758108
2019-12-10 22:45:54:738,4.659766,2.706176
2019-12-10 22:45:54:776,4.660663,2.705828
2019-12-10 22:45:54:823,4.660465,2.705039
2019-12-10 22:45:54:861,4.660089,2.704817
2019-12-10 22:45:54:901,4.658828,2.704309
2019-12-10 22:45:54:945,4.63395,2.753913
2019-12-10 22:45:54:991,4.573082,2.723548
2019-12-10 22:45:55:036,4.071766,2.625675
2019-12-10 22:45:55:088,4.076178,2.633645
2019-12-10 22:45:55:138,4.045518,2.60359
2019-12-10 22:45:55:189,4.005752,2.613718
2019-12-10 22:45:55:229,4.033437,2.634223
2019-12-10 22:45:55:265,4.049831,2.637458
2019-12-10 22:45:55:302,4.043331,2.634763
2019-12-10 22:45:55:357,4.039925,2.634638
2019-12-10 22:45:55:404,4.069485,2.632123
2019-12-10 22:45:55:445,4.053236,2.633339
2019-12-10 22:45:55:491,4.051616,2.632937
2019-12-10 22:45:55:532,4.049461,2.633004
2019-12-10 22:45:55:589,4.050998,2.631735
2019-12-10 22:45:55:630,4.054303,2.631047
2019-12-10 22:45:55:665,4.055273,2.63046
2019-12-10 22:45:55:703,4.051397,2.630407
2019-12-10 22:45:55:745,4.058977,2.631749
2019-12-10 22:45:55:790,4.054143,2.631308
2019-12-10 22:45:55:832,4.049693,2.63072
2019-12-10 22:45:55:876,4.051894,2.637183
2019-12-10 22:45:55:925,4.053624,2.636983
2019-12-10 22:45:55:962,4.053519,2.636762
2019-12-10 22:45:55:999,4.053513,2.636644
2019-12-10 22:45:56:048,4.051878,2.63583
2019-12-10 22:45:56:091,4.051895,2.635813
2019-12-10 22:45:56:140,4.051919,2.635008
2019-12-10 22:45:56:178,4.053382,2.634781
2019-12-10 22:45:56:224,4.053423,2.634712
2019-12-10 22:45:56:263,4.053375,2.634457
2019-12-10 22:45:56:298,4.053305,2.634336
2019-12-10 22:45:56:333,4.053807,2.634232
2019-12-10 22:45:56:374,4.053775,2.63431
2019-12-10 22:45:56:424,4.053751,2.633758
2019-12-10 22:45:56:466,4.053471,2.633957
2019-12-10 22:45:56:504,4.053475,2.633987
2019-12-10 22:45:56:554,4.05449,2.63428
2019-12-10 22:45:56:595,4.054467,2.634302
2019-12-10 22:45:56:636,4.05447,2.634322
2019-12-10 22:45:56:691,4.056535,2.633663
2019-12-10 22:45:56:731,4.056311,2.633695
2019-12-10 22:45:56:770,4.056476,2.633584
2019-12-10 22:45:56:821,4.05564,2.633612
2019-12-10 22:45:56:858,4.056597,2.633041
2019-12-10 22:45:56:902,4.0574,2.632767
2019-12-10 22:45:56:945,4.057615,2.633365
2019-12-10 22:45:56:990,4.058104,2.633429
2019-12-10 22:45:57:026,4.058596,2.633487
2019-12-10 22:45:57:064,4.05835,2.63361
2019-12-10 22:45:57:103,4.058225,2.633408
2019-12-10 22:45:57:156,4.058382,2.633201
2019-12-10 22:45:57:196,4.058103,2.63335
2019-12-10 22:45:57:232,4.057565,2.633539
2019-12-10 22:45:57:268,4.05744,2.633627
2019-12-10 22:45:57:323,4.058308,2.63367
2019-12-10 22:45:57:365,4.058146,2.633638
2019-12-10 22:45:57:400,4.058437,2.633747
2019-12-10 22:45:57:441,4.058217,2.634002
2019-12-10 22:45:57:490,4.058434,2.633939
2019-12-10 22:45:57:544,4.059186,2.63386
2019-12-10 22:45:57:590,4.058741,2.633976
2019-12-10 22:45:57:630,4.057835,2.633865
2019-12-10 22:45:57:672,4.057628,2.633947
2019-12-10 22:45:57:722,4.057852,2.633959
2019-12-10 22:45:57:768,4.057748,2.633733
2019-12-10 22:45:57:823,4.058155,2.633046
2019-12-10 22:45:57:863,4.057808,2.633138
2019-12-10 22:45:57:910,4.057699,2.633528
2019-12-10 22:45:57:957,4.057675,2.633514
2019-12-10 22:45:58:014,4.05679,2.633595
2019-12-10 22:45:58:055,4.056647,2.633491
2019-12-10 22:45:58:094,4.051809,2.632483
2019-12-10 22:45:58:134,4.051987,2.632689
2019-12-10 22:45:58:186,4.053731,2.632639
2019-12-10 22:45:58:257,4.052931,2.632294
2019-12-10 22:45:58:301,4.052861,2.632697
2019-12-10 22:45:58:349,4.05442,2.63202
2019-12-10 22:45:58:388,4.054451,2.632174
2019-12-10 22:45:58:438,4.056314,2.63157
2019-12-10 22:45:58:491,4.056687,2.632162
2019-12-10 22:45:58:532,4.056561,2.632209
2019-12-10 22:45:58:590,4.056182,2.632153
2019-12-10 22:45:58:637,4.056123,2.632276
2019-12-10 22:45:58:692,4.051234,2.631772
2019-12-10 22:45:58:730,4.05173,2.631489
2019-12-10 22:45:58:769,4.051997,2.631929
2019-12-10 22:45:58:809,4.051896,2.632078
2019-12-10 22:45:58:858,4.05201,2.63253
2019-12-10 22:45:58:903,4.054048,2.631812
2019-12-10 22:45:58:943,4.053854,2.632381
2019-12-10 22:45:58:988,4.054838,2.632042
2019-12-10 22:45:59:031,4.054634,2.632332
2019-12-10 22:45:59:066,4.056437,2.632761
2019-12-10 22:45:59:105,4.05635,2.632911
2019-12-10 22:45:59:141,4.056917,2.632705
2019-12-10 22:45:59:179,4.056612,2.632737
2019-12-10 22:45:59:221,4.056679,2.632643
2019-12-10 22:45:59:260,4.057205,2.632472
2019-12-10 22:45:59:298,4.057655,2.632329
2019-12-10 22:45:59:340,4.057456,2.632397
2019-12-10 22:45:59:388,4.057941,2.632574
2019-12-10 22:45:59:429,4.057819,2.632664
2019-12-10 22:45:59:466,4.057248,2.632182
2019-12-10 22:45:59:503,4.057845,2.632413
2019-12-10 22:45:59:556,4.050002,2.63033
2019-12-10 22:45:59:598,4.047692,2.632785
2019-12-10 22:45:59:644,4.045384,2.630852
2019-12-10 22:45:59:689,4.047113,2.632003
2019-12-10 22:45:59:727,4.047582,2.632016
2019-12-10 22:45:59:766,4.051707,2.632595
2019-12-10 22:45:59:803,4.052786,2.632616
2019-12-10 22:45:59:843,4.05292,2.632922
2019-12-10 22:45:59:877,4.049115,2.631525
2019-12-10 22:45:59:922,4.051903,2.631175
2019-12-10 22:45:59:973,4.052049,2.631433
2019-12-10 22:46:00:022,4.055214,2.632175
2019-12-10 22:46:00:062,4.055261,2.632172
2019-12-10 22:46:00:102,4.056243,2.632781
2019-12-10 22:46:00:144,4.05626,2.632914
2019-12-10 22:46:00:189,4.056997,2.633344
2019-12-10 22:46:00:232,4.056986,2.63323
2019-12-10 22:46:00:269,4.056841,2.633384
2019-12-10 22:46:00:307,4.056409,2.633753
2019-12-10 22:46:00:357,4.055927,2.63328
2019-12-10 22:46:00:395,4.055843,2.633154
2019-12-10 22:46:00:436,4.057014,2.633248
2019-12-10 22:46:00:486,4.056904,2.633361
2019-12-10 22:46:00:526,4.056915,2.633376
2019-12-10 22:46:00:568,4.049591,2.630366
2019-12-10 22:46:00:621,4.050909,2.630718
2019-12-10 22:46:00:665,4.051013,2.631351
2019-12-10 22:46:00:708,4.053329,2.631524
2019-12-10 22:46:00:755,4.054794,2.631795
2019-12-10 22:46:00:791,4.054734,2.632134
2019-12-10 22:46:00:830,4.055618,2.631859
2019-12-10 22:46:00:869,4.055577,2.632039
2019-12-10 22:46:00:919,4.055408,2.632375
2019-12-10 22:46:00:957,4.055366,2.632398
2019-12-10 22:46:00:994,4.055443,2.632428
2019-12-10 22:46:01:031,4.055424,2.632664
2019-12-10 22:46:01:088,4.057044,2.632595
2019-12-10 22:46:01:129,4.057899,2.632784
2019-12-10 22:46:01:168,4.057499,2.63304
2019-12-10 22:46:01:202,4.057143,2.633243
2019-12-10 22:46:01:242,4.057616,2.633422
2019-12-10 22:46:01:290,4.057974,2.633197
2019-12-10 22:46:01:328,4.057694,2.633008
2019-12-10 22:46:01:366,4.058039,2.63283
2019-12-10 22:46:01:404,4.05727,2.633058
2019-12-10 22:46:01:441,4.05728,2.633058
2019-12-10 22:46:01:490,4.057111,2.633199
2019-12-10 22:46:01:533,4.057086,2.633165
2019-12-10 22:46:01:568,4.057477,2.633502
2019-12-10 22:46:01:609,4.057804,2.633631
2019-12-10 22:46:01:657,4.057786,2.633641
2019-12-10 22:46:01:698,4.057755,2.633652
2019-12-10 22:46:01:736,4.057656,2.633908
2019-12-10 22:46:01:790,4.057926,2.633846
2019-12-10 22:46:01:830,4.0576,2.633949
2019-12-10 22:46:01:873,4.057401,2.633896
2019-12-10 22:46:01:923,4.056968,2.633627
2019-12-10 22:46:01:959,4.057483,2.633454
2019-12-10 22:46:01:996,4.057435,2.633477
2019-12-10 22:46:02:033,4.05687,2.63344
2019-12-10 22:46:02:068,4.056801,2.633522
