2020-02-27 15:00:37:932, no_human
2020-02-27 15:00:37:943, no_human
2020-02-27 15:00:38:239, no_human
2020-02-27 15:00:38:310, no_human
2020-02-27 15:00:38:327, no_human
2020-02-27 15:00:38:343, no_human
2020-02-27 15:00:38:360, no_human
2020-02-27 15:00:38:381, no_human
2020-02-27 15:00:38:395, no_human
2020-02-27 15:00:38:411, no_human
2020-02-27 15:00:38:455, no_human
2020-02-27 15:00:38:473, no_human
2020-02-27 15:00:38:479, no_human
2020-02-27 15:00:38:495, no_human
2020-02-27 15:00:38:512, no_human
2020-02-27 15:00:38:530, no_human
2020-02-27 15:00:38:558, no_human
2020-02-27 15:00:38:591, no_human
2020-02-27 15:00:38:621, no_human
2020-02-27 15:00:38:656, no_human
2020-02-27 15:00:38:689, no_human
2020-02-27 15:00:38:717, no_human
2020-02-27 15:00:38:724, no_human
2020-02-27 15:00:38:774, no_human
2020-02-27 15:00:38:804, no_human
2020-02-27 15:00:38:834, no_human
2020-02-27 15:00:38:866, no_human
2020-02-27 15:00:38:901, no_human
2020-02-27 15:00:38:932, no_human
2020-02-27 15:00:38:967, no_human
2020-02-27 15:00:38:997, no_human
2020-02-27 15:00:39:027, no_human
2020-02-27 15:00:39:055, no_human
2020-02-27 15:00:42:878,0.4971334,1.7658192.517699
2020-02-27 15:00:43:177,0.4967614,1.7663322.520229
2020-02-27 15:00:43:360,0.4886901,1.7678962.540178
2020-02-27 15:00:43:429,0.4841261,1.7676152.546097
2020-02-27 15:00:43:467,0.483043,1.7672912.54779
2020-02-27 15:00:43:509,0.4826786,1.7673922.548753
2020-02-27 15:00:43:573,0.4825338,1.7673862.549433
2020-02-27 15:00:43:640,0.4826486,1.7670882.550746
2020-02-27 15:00:43:704,0.4831488,1.7666762.551411
2020-02-27 15:00:43:756,0.4840116,1.7664722.552059
2020-02-27 15:00:43:791,0.484347,1.7662162.552201
2020-02-27 15:00:43:830,0.4849086,1.7659822.552741
2020-02-27 15:00:43:865,0.4851739,1.7658842.553097
2020-02-27 15:00:43:899,0.4854893,1.7658242.553416
2020-02-27 15:00:43:941,0.4860114,1.7657422.553728
2020-02-27 15:00:43:976,0.4863542,1.7657762.5541
2020-02-27 15:00:44:010,0.4865246,1.7657762.554265
2020-02-27 15:00:44:057,0.4866349,1.7657272.55433
2020-02-27 15:00:44:095,0.4867615,1.7657132.554458
2020-02-27 15:00:44:133,0.4868628,1.765632.554576
2020-02-27 15:00:44:168,0.4868922,1.7656162.554907
2020-02-27 15:00:44:203,0.4868498,1.7655822.55505
2020-02-27 15:00:44:256,0.4868527,1.7656232.555282
2020-02-27 15:00:44:294,0.4868125,1.7656442.555378
2020-02-27 15:00:44:335,0.486802,1.7656352.555468
2020-02-27 15:00:44:370,0.4866363,1.7659452.55577
2020-02-27 15:00:44:407,0.4864665,1.7661012.555945
2020-02-27 15:00:44:457,0.4864436,1.7661662.555951
2020-02-27 15:00:44:492,0.486385,1.7661942.556005
2020-02-27 15:00:44:528,0.4862413,1.7662872.555969
2020-02-27 15:00:44:568,0.4860521,1.7663472.555994
2020-02-27 15:00:44:604,0.4858047,1.7664792.556043
2020-02-27 15:00:44:656,0.4856552,1.7663912.555954
2020-02-27 15:00:44:694,0.485474,1.7663712.555932
2020-02-27 15:00:44:735,0.4851041,1.7664642.555807
2020-02-27 15:00:44:769,0.4844303,1.7665832.555686
2020-02-27 15:00:44:805,0.4840508,1.7665232.555494
2020-02-27 15:00:44:857,0.4836909,1.7664152.555318
2020-02-27 15:00:44:895,0.4834292,1.7664162.555335
2020-02-27 15:00:44:931,0.4831464,1.7664112.555348
2020-02-27 15:00:44:972,0.4825398,1.7664752.555153
2020-02-27 15:00:45:012,0.4814819,1.7663772.555232
2020-02-27 15:00:45:058,0.4807551,1.7663242.55527
2020-02-27 15:00:45:092,0.4794483,1.7661212.555477
2020-02-27 15:00:45:134,0.4774849,1.7660422.555894
2020-02-27 15:00:45:185,0.4752918,1.765712.556267
2020-02-27 15:00:45:224,0.4658623,1.7651042.560153
2020-02-27 15:00:45:265,0.4606137,1.7647452.561865
2020-02-27 15:00:45:298,0.4530701,1.7640892.565285
2020-02-27 15:00:45:338,0.4446017,1.7631932.568294
2020-02-27 15:00:45:373,0.4230726,1.7576722.576573
2020-02-27 15:00:45:409,0.4134283,1.7532262.579736
2020-02-27 15:00:45:456,0.4028909,1.7474072.581595
2020-02-27 15:00:45:493,0.3921693,1.741342.583019
2020-02-27 15:00:45:529,0.3815427,1.7339842.583725
2020-02-27 15:00:45:571,0.3748511,1.7271462.582851
2020-02-27 15:00:45:626,0.3592543,1.7118862.578724
2020-02-27 15:00:45:672,0.3106689,1.6677452.560959
2020-02-27 15:00:45:724,0.2803721,1.6447232.562958
2020-02-27 15:00:45:769,0.2758342,1.6397522.560831
2020-02-27 15:00:45:803,0.261432,1.6278732.54985
2020-02-27 15:00:45:836,0.2532561,1.6164692.541495
2020-02-27 15:00:45:876,0.2465827,1.6111862.534984
2020-02-27 15:00:45:923,0.2429915,1.6050932.530762
2020-02-27 15:00:45:965,0.2378428,1.5962652.52655
2020-02-27 15:00:46:006,0.2338296,1.5893452.52203
2020-02-27 15:00:46:055,0.227043,1.5755252.514664
2020-02-27 15:00:46:089,0.2208881,1.5643442.513007
2020-02-27 15:00:46:131,0.2188042,1.558232.512781
2020-02-27 15:00:46:166,0.2119838,1.5470572.510679
2020-02-27 15:00:46:200,0.2072405,1.5400462.510667
2020-02-27 15:00:46:240,0.1962717,1.517712.512988
2020-02-27 15:00:46:280,0.1909728,1.5008092.514734
2020-02-27 15:00:46:324,0.1863066,1.4803242.518713
2020-02-27 15:00:46:368,0.1835513,1.4640322.517327
2020-02-27 15:00:46:406,0.173867,1.4261862.52118
2020-02-27 15:00:46:461,0.1706944,1.4071662.522008
2020-02-27 15:00:46:496,0.167442,1.3871382.523746
2020-02-27 15:00:46:533,0.1632931,1.3651692.524305
2020-02-27 15:00:46:591,0.1598797,1.3289312.527093
2020-02-27 15:00:46:631,0.1633661,1.3047522.530886
2020-02-27 15:00:46:672,0.1628025,1.2857512.533766
2020-02-27 15:00:46:712,0.163439,1.2535222.538915
2020-02-27 15:00:46:756,0.1644033,1.2373012.541482
2020-02-27 15:00:46:800,0.1666726,1.2208322.545947
2020-02-27 15:00:46:842,0.1710914,1.1986092.551423
2020-02-27 15:00:46:876,0.1723355,1.1893012.554805
2020-02-27 15:00:46:911,0.1757555,1.1810512.557148
2020-02-27 15:00:46:958,0.1784003,1.1674342.561301
2020-02-27 15:00:47:014,0.1810018,1.1569492.562812
2020-02-27 15:00:47:063,0.1912792,1.1327032.566604
2020-02-27 15:00:47:099,0.1961741,1.1210072.567178
2020-02-27 15:00:47:140,0.206132,1.1049212.569552
2020-02-27 15:00:47:176,0.22154,1.0855932.568074
2020-02-27 15:00:47:219,0.2324301,1.0750542.567519
2020-02-27 15:00:47:265,0.2443553,1.0653312.567783
2020-02-27 15:00:47:302,0.2568344,1.0581092.567514
2020-02-27 15:00:47:357,0.29208,1.0461892.568771
2020-02-27 15:00:47:393,0.3141646,1.0453092.568103
2020-02-27 15:00:47:441,0.3552675,1.033782.57694
2020-02-27 15:00:47:489,0.3787108,1.0482312.578256
2020-02-27 15:00:47:523,0.3971865,1.0612932.578118
2020-02-27 15:00:47:562,0.4242503,1.0905442.575215
2020-02-27 15:00:47:605,0.4444002,1.1064812.577736
2020-02-27 15:00:47:657,0.4911964,1.1410162.580927
2020-02-27 15:00:47:695,0.5091467,1.152152.582431
2020-02-27 15:00:47:735,0.5274404,1.1663832.583714
2020-02-27 15:00:47:771,0.567967,1.1894582.58373
2020-02-27 15:00:47:810,0.5852214,1.1978912.583009
2020-02-27 15:00:47:862,0.6007062,1.2042472.58262
2020-02-27 15:00:47:904,0.6358814,1.213662.579147
2020-02-27 15:00:47:955,0.6462957,1.2161842.57763
2020-02-27 15:00:47:998,0.6590254,1.2198392.578097
2020-02-27 15:00:48:032,0.6717913,1.2218412.576772
2020-02-27 15:00:48:067,0.6862903,1.2250162.575946
2020-02-27 15:00:48:102,0.7131024,1.2296462.573849
2020-02-27 15:00:48:142,0.7259254,1.2343872.57324
2020-02-27 15:00:48:176,0.7395179,1.2356182.572333
2020-02-27 15:00:48:218,0.751583,1.2409482.571307
2020-02-27 15:00:48:254,0.7639318,1.2466842.571686
2020-02-27 15:00:48:289,0.7772349,1.2538732.569644
2020-02-27 15:00:48:332,0.7891887,1.2581152.567707
2020-02-27 15:00:48:370,0.8020892,1.2623072.567518
2020-02-27 15:00:48:408,0.8238909,1.2684552.565327
2020-02-27 15:00:48:455,0.8355048,1.2690162.565673
2020-02-27 15:00:48:493,0.8456228,1.2711372.563952
2020-02-27 15:00:48:535,0.8574426,1.2739662.562594
2020-02-27 15:00:48:580,0.8835689,1.2797162.558733
2020-02-27 15:00:48:625,0.895557,1.2821112.558579
2020-02-27 15:00:48:659,0.9060273,1.28512.557633
2020-02-27 15:00:48:692,0.9184887,1.2881762.557166
2020-02-27 15:00:48:736,0.9299636,1.2903312.556942
2020-02-27 15:00:48:773,0.949084,1.2934422.55555
2020-02-27 15:00:48:808,0.9566814,1.2937622.554773
2020-02-27 15:00:48:862,0.9648135,1.2938692.554612
2020-02-27 15:00:48:900,0.9713232,1.2934022.555782
2020-02-27 15:00:48:964,0.9832783,1.2929942.555973
2020-02-27 15:00:49:012,0.9926454,1.2938142.555609
2020-02-27 15:00:49:059,0.9974942,1.2932382.55624
2020-02-27 15:00:49:106,1.004705,1.2938512.555671
2020-02-27 15:00:49:156,1.007196,1.2940952.555735
2020-02-27 15:00:49:192,1.009522,1.294592.55641
2020-02-27 15:00:49:233,1.01144,1.2949192.556951
2020-02-27 15:00:49:271,1.01324,1.2953242.557674
2020-02-27 15:00:49:324,1.015826,1.2963012.558828
2020-02-27 15:00:49:367,1.016732,1.2969842.559662
2020-02-27 15:00:49:401,1.018023,1.2981062.561403
2020-02-27 15:00:49:443,1.018399,1.2984852.562184
2020-02-27 15:00:49:478,1.018313,1.2987892.563058
2020-02-27 15:00:49:526,1.018567,1.2990852.563767
2020-02-27 15:00:49:569,1.018117,1.3000022.564825
2020-02-27 15:00:49:606,1.017893,1.3000852.565807
2020-02-27 15:00:49:646,1.017063,1.3000642.567223
2020-02-27 15:00:49:690,1.01666,1.3002842.568526
2020-02-27 15:00:49:729,1.016224,1.3004442.569247
2020-02-27 15:00:49:766,1.015592,1.3008262.569742
2020-02-27 15:00:49:802,1.014991,1.3009512.570194
2020-02-27 15:00:49:846,1.014139,1.301222.571261
2020-02-27 15:00:49:890,1.013571,1.3012072.571836
2020-02-27 15:00:49:926,1.013035,1.3015012.572102
2020-02-27 15:00:49:962,1.012479,1.3014932.572709
