2019-12-23 18:20:20:159, no_human,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-12-23 18:20:20:193, no_human,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-12-23 18:20:20:229, no_human,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-12-23 18:20:20:263, no_human,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-12-23 18:20:20:332,0.9400139,0.8491347,2.460364,0.9254814,1.17944,2.508547,0.9067686,1.49988,2.542831,0.8931567,1.646548,2.548442,0.7189007,1.373531,2.557634,0.6666603,1.094818,2.4888,0.6302538,0.8748735,2.394118,0.6046935,0.8166145,2.345822,1.089404,1.368683,2.486682,1.159678,1.109001,2.450149,1.162751,0.9042229,2.322184,1.165913,0.855179,2.299706,0.8413866,0.8540061,2.441597,0.8507497,0.4340836,2.41446,0.8855033,0.05475807,2.347963,0.8491014,0.06484377,2.271406,1.01008,0.8519133,2.404311,1.065488,0.4866674,2.359949,1.086948,0.08828938,2.540142,1.103516,0.04628909,2.445313,0.9122253,1.421079,2.536702,0.6073408,0.7475206,2.32141,0.5587633,0.8222576,2.336973,1.168278,0.7925134,2.279488,1.100182,1.077286,2.324333
2019-12-23 18:20:20:385,0.9307951,0.8484359,2.442088,0.9175168,1.18094,2.493184,0.8999716,1.50316,2.530065,0.885795,1.650642,2.538379,0.710291,1.377949,2.540129,0.6596572,1.124364,2.437879,0.622587,0.9264019,2.294207,0.6121992,0.8631908,2.25079,1.082117,1.373002,2.470947,1.150396,1.110875,2.434779,1.171541,0.9037579,2.319303,1.182498,0.8404834,2.295344,0.8313454,0.8533815,2.42044,0.8477021,0.4428316,2.405817,0.8890794,0.05837905,2.35296,0.8503543,0.06512821,2.273556,1.00164,0.8512462,2.388486,1.052639,0.4890472,2.309603,1.090942,0.06533217,2.404474,1.092773,0.04140627,2.296875,0.9051432,1.423953,2.523324,0.6223354,0.791274,2.226637,0.5704527,0.8461111,2.253625,1.181376,0.7716014,2.281631,1.142236,1.027948,2.292
2019-12-23 18:20:20:422,0.9291803,0.8458954,2.433566,0.9144946,1.180594,2.485352,0.8954116,1.504961,2.522461,0.8806177,1.6532,2.531569,0.7078615,1.381498,2.529109,0.6588007,1.139308,2.424664,0.6278678,0.9605358,2.262521,0.6248228,0.8905483,2.215421,1.072403,1.377422,2.457823,1.149838,1.113994,2.429862,1.173367,0.9060577,2.318761,1.184865,0.8385011,2.29274,0.8297976,0.8507577,2.411037,0.8466389,0.4426767,2.402694,0.8904649,0.05761766,2.352601,0.851158,0.06389105,2.273874,0.9998974,0.8489226,2.380915,1.049632,0.4733835,2.2865,1.091576,0.06078196,2.326325,1.079102,0.04140627,2.210938,0.9009929,1.425207,2.5157,0.6276138,0.8270726,2.192636,0.6959076,0.871448,2.285333,1.189488,0.7686287,2.283501,1.151025,1.00018,2.298
2019-12-23 18:20:20:458,0.9274349,0.8447497,2.427355,0.9120947,1.180677,2.477096,0.8923921,1.506572,2.512287,0.8750625,1.654168,2.524914,0.7063475,1.383192,2.523933,0.6551874,1.158977,2.414308,0.6364109,0.978898,2.251178,0.6384745,0.9196895,2.185096,1.068334,1.37856,2.448104,1.149833,1.115821,2.425947,1.175184,0.9057391,2.31534,1.182517,0.8366572,2.288846,0.8283744,0.8498409,2.404737,0.8459463,0.4430799,2.400952,0.8894933,0.06773412,2.351857,0.8536551,0.1070304,2.238924,0.9977458,0.8475981,2.37472,1.044901,0.4749008,2.268649,1.089298,0.08752966,2.251313,1.053898,0.09779751,2.132593,0.898115,1.426427,2.505983,0.6427647,0.8620452,2.148608,0.7206567,0.9084001,2.262429,1.180411,0.7657379,2.275714,1.145797,1.007219,2.294141
2019-12-23 18:20:20:496,0.9251227,0.8408551,2.420218,0.908982,1.179602,2.469493,0.8882845,1.508189,2.503795,0.8704916,1.656385,2.515877,0.7053623,1.385313,2.515699,0.6533759,1.165574,2.407932,0.644725,0.9956434,2.222573,0.6512143,0.9417172,2.156594,1.066351,1.378177,2.439018,1.150563,1.114382,2.419846,1.176036,0.9048432,2.310865,1.178722,0.8360196,2.281974,0.8266761,0.8470416,2.399623,0.8456836,0.4426043,2.399897,0.8888424,0.07562113,2.351975,0.8536972,0.1059616,2.237335,0.994637,0.8426057,2.365092,1.039465,0.4785038,2.250778,1.07731,0.1015846,2.198802,1.04099,0.1180512,2.085261,0.8942761,1.427365,2.497754,0.6594867,0.8881481,2.11949,0.7048411,0.8876947,2.191667,1.176886,0.7676706,2.27118,1.138278,0.999169,2.280375
2019-12-23 18:20:20:532,0.915159,0.8370531,2.41165,0.9023674,1.17886,2.456514,0.8849594,1.510498,2.485677,0.864062,1.658288,2.501177,0.7047473,1.389308,2.505416,0.642785,1.180996,2.396159,0.6581916,1.025917,2.207386,0.6757248,0.9742773,2.118676,1.059723,1.379968,2.413967,1.151123,1.121301,2.399359,1.172659,0.9026643,2.29105,1.169684,0.8339669,2.266135,0.8182063,0.8439666,2.393039,0.8433589,0.4466063,2.396979,0.8891713,0.06356227,2.34688,0.881344,0.04877329,2.256705,0.9833568,0.8383551,2.354314,1.028746,0.4756751,2.213582,1.065952,0.1019261,2.09394,1.020508,0.1,2.039063,0.8900872,1.428916,2.480992,0.6900275,0.9305465,2.082402,0.7535505,0.9282381,2.1955,1.167027,0.7633544,2.25665,1.140329,0.9910094,2.271875
