2020-02-27 17:25:55:224, no_human
2020-02-27 17:25:55:235, no_human
2020-02-27 17:25:55:515, no_human
2020-02-27 17:25:55:580, no_human
2020-02-27 17:25:55:596, no_human
2020-02-27 17:25:55:613, no_human
2020-02-27 17:25:55:629, no_human
2020-02-27 17:25:55:648, no_human
2020-02-27 17:25:55:663, no_human
2020-02-27 17:25:55:680, no_human
2020-02-27 17:25:55:724, no_human
2020-02-27 17:25:55:740, no_human
2020-02-27 17:25:55:747, no_human
2020-02-27 17:25:55:773, no_human
2020-02-27 17:25:55:780, no_human
2020-02-27 17:25:55:797, no_human
2020-02-27 17:25:55:814, no_human
2020-02-27 17:25:55:830, no_human
2020-02-27 17:25:55:870, no_human
2020-02-27 17:25:55:882, no_human
2020-02-27 17:25:55:912, no_human
2020-02-27 17:25:55:917, no_human
2020-02-27 17:25:55:953, no_human
2020-02-27 17:25:55:963, no_human
2020-02-27 17:25:56:003, no_human
2020-02-27 17:25:56:043, no_human
2020-02-27 17:25:56:069, no_human
2020-02-27 17:25:56:097, no_human
2020-02-27 17:25:56:125, no_human
2020-02-27 17:25:56:159, no_human
2020-02-27 17:25:56:191, no_human
2020-02-27 17:25:56:220, no_human
2020-02-27 17:25:56:229, no_human
2020-02-27 17:25:56:262, no_human
2020-02-27 17:25:56:290, no_human
2020-02-27 17:25:56:320, no_human
2020-02-27 17:25:56:330, no_human
2020-02-27 17:26:00:825,0.2360985,1.3075743.129564
2020-02-27 17:26:00:865,0.2365744,1.2764463.090899
2020-02-27 17:26:00:907,0.2355879,1.2675873.073432
2020-02-27 17:26:00:946,0.2324199,1.2627153.032331
2020-02-27 17:26:00:986,0.2293452,1.2680293.015677
2020-02-27 17:26:01:025,0.2274784,1.2713823.003566
2020-02-27 17:26:01:063,0.2262964,1.2760932.994722
2020-02-27 17:26:01:106,0.2243634,1.2828282.981185
2020-02-27 17:26:01:144,0.221693,1.2872582.969025
2020-02-27 17:26:01:184,0.2207525,1.2888562.964464
2020-02-27 17:26:01:221,0.220241,1.2899992.962193
2020-02-27 17:26:01:261,0.2202226,1.2914522.9603
2020-02-27 17:26:01:310,0.2196863,1.2937172.956985
2020-02-27 17:26:01:349,0.2194364,1.2995722.954404
2020-02-27 17:26:01:394,0.2194887,1.3013512.953845
2020-02-27 17:26:01:432,0.2201066,1.3030272.952994
2020-02-27 17:26:01:467,0.2203937,1.3039572.952636
2020-02-27 17:26:01:508,0.2210083,1.3056932.952775
2020-02-27 17:26:01:543,0.2220563,1.3071132.952336
2020-02-27 17:26:01:583,0.2228082,1.3079342.951734
2020-02-27 17:26:01:623,0.2239975,1.3094432.95088
2020-02-27 17:26:01:669,0.2247581,1.3104022.950501
2020-02-27 17:26:01:705,0.2258245,1.3115552.950313
2020-02-27 17:26:01:742,0.227819,1.3128932.949703
2020-02-27 17:26:01:781,0.2287369,1.313322.948881
2020-02-27 17:26:01:818,0.230022,1.3139442.947905
2020-02-27 17:26:01:862,0.2314917,1.314772.947273
2020-02-27 17:26:01:910,0.232423,1.3150892.946352
2020-02-27 17:26:01:948,0.2347312,1.3159152.9442
2020-02-27 17:26:01:986,0.2364,1.315512.943095
2020-02-27 17:26:02:026,0.2376479,1.3150412.942327
2020-02-27 17:26:02:067,0.2387852,1.3151192.940594
2020-02-27 17:26:02:104,0.2394802,1.3149732.939232
2020-02-27 17:26:02:138,0.2418315,1.3133912.934273
2020-02-27 17:26:02:177,0.242735,1.3126382.931095
2020-02-27 17:26:02:216,0.2435058,1.3102882.925593
2020-02-27 17:26:02:253,0.2438674,1.3091312.918863
2020-02-27 17:26:02:293,0.2436374,1.3076242.915485
2020-02-27 17:26:02:330,0.2422211,1.3040322.908944
2020-02-27 17:26:02:377,0.2417655,1.2999632.901509
2020-02-27 17:26:02:416,0.2392435,1.2893822.886652
2020-02-27 17:26:02:457,0.2378965,1.2818522.877959
2020-02-27 17:26:02:519,0.2361593,1.2732332.867446
2020-02-27 17:26:02:556,0.2315321,1.2506152.846435
2020-02-27 17:26:02:601,0.229389,1.2385592.835848
2020-02-27 17:26:02:640,0.2258168,1.2005252.820819
2020-02-27 17:26:02:682,0.2230882,1.1831342.814649
2020-02-27 17:26:02:723,0.2193932,1.1587132.805462
2020-02-27 17:26:02:762,0.2178723,1.1408952.799132
2020-02-27 17:26:02:800,0.2143073,1.1179062.790392
2020-02-27 17:26:02:837,0.2148254,1.0907952.775788
2020-02-27 17:26:02:871,0.2059635,1.0655132.775239
2020-02-27 17:26:02:914,0.2036974,1.0479322.750816
2020-02-27 17:26:02:968,0.197592,1.0053942.732274
2020-02-27 17:26:03:019,0.1954334,0.96056292.710068
2020-02-27 17:26:03:073,0.1927602,0.94398782.697113
2020-02-27 17:26:03:117,0.1904078,0.89995382.671316
2020-02-27 17:26:03:158,0.1828442,0.85773062.663881
2020-02-27 17:26:03:202,0.1869923,0.84457712.663928
2020-02-27 17:26:03:255,0.1861603,0.83544142.636664
2020-02-27 17:26:03:329,0.2011131,0.80305112.579574
2020-02-27 17:26:03:383,0.1929827,0.79283022.576122
2020-02-27 17:26:03:439,0.1913965,0.76914832.51004
2020-02-27 17:26:03:480,0.192597,0.73872712.381609
2020-02-27 17:26:03:528,0.2010541,0.70746872.295386
2020-02-27 17:26:03:564,0.2006622,0.67738252.229115
2020-02-27 17:26:03:601,0.1761688,0.64678062.247478
2020-02-27 17:26:03:641,0.1517639,0.64080362.202319
2020-02-27 17:26:03:662,0.1517639,0.64080362.202319
2020-02-27 17:26:03:701,0.1962006,0.66541242.089487
2020-02-27 17:26:03:739,0.1804386,0.63938352.04385
2020-02-27 17:26:03:782,0.171696,0.63731152.002152
2020-02-27 17:26:03:818,0.1616532,0.6357721.978903
2020-02-27 17:26:03:853,0.15357,0.62803591.958432
2020-02-27 17:26:03:893,0.1477729,0.62050561.940352
2020-02-27 17:26:03:931,0.1401355,0.61594391.926156
2020-02-27 17:26:03:979,0.1241647,0.60007171.88509
2020-02-27 17:26:04:041,0.1150163,0.59517521.876407
